text,movement,style,year,corpus,var
 И вдруг звонит мне ночью из Москвы мама с новостью ― арестован Колеватов. ,1,0,1997,0,из
"  Не всё ещё было потеряно, ещё можно было спасти себя для Таисии, для настоящей жизни: сбежать из Москвы глухой тёмной ночью, добраться до Гороховея, чтоб и оттуда сбежать, вместе с Таисией. ",1,0,1998,0,из
" Этаж ― четырнадцатый, из-за двери донеслось не остервенелое дребезжание колокола, по которому в электромагнитном экстазе лупит молоточек, а ласковое воркование заморской птицы, призывающей хозяев обратить благосклонное внимание на гостя, и хозяева вняли просьбе воркующей пташки, предварительно рассмотрев пришельца через оптическое устройство, вмонтированное в дверь, и та открылась, величаво, будто открыванию предшествовал зычный возглас мажордома: ""Инженер из Москвы Андрей Сургеев!"" ",0,0,1998,0,из
" И на улице хохотал, когда под хлещущим дождём бежал по набережной, ища такси, и в такси хохотал и хохотал, а потом не удержался и рассказал шофёру о том, как в конце сентября 1957 года прибыла в Париж делегация из Москвы, продавать французам крупную партию часов, как французы выдвинули условие: покупаем только механизмы, уж очень убого выглядят русские часы на европейских запястьях; как долго спорили  о названии часов, потому что ""Победа"" никак не соответствовала изящно сработанному корпусу; как полёт первого спутника 4 октября 1957 года решил все споры ― ""Спутник"", только ""Спутник""; как глава делегации Васькянин Т. Г. привез министру внешней торговли подарок от французов, часы, и министр, глянув, увидел то, чего не узрели в Париже русские, со всех сторон обложенные латинским алфавитом: ""СРУТНИК"" ― вот что выведено было на часах  !.. ",0,0,1998,0,из
"  ― Что ж делать-то? ― боязливо спросил гений, и в голосе была надежда: выручай, дорогой товарищ из Москвы, подскажи! ",0,1,1998,0,из
" На русском ― живо интересуется новостями из Москвы, рассказывает о своём житье: с шести утра учит язык, потом учит роль, потом снова учит язык, потом репетирует роль, потом играет спектакль, потом― короткий сон, во время которого разговаривает на двух языках сразу… ",0,0,1994,0,из
" Это позволяло проводить Олимпиаду, лепить из Москвы образ образцового (в их понимании) города, но самое важное ― часть москвичей получила возможность покупать не только капусту, но и персики, а то и виноград, которые государственная советская система к тому времени почти разучилась производить. ",1,0,1997,0,из
"  Я честно признаюсь, что журналистка, из Москвы. ",0,0,1997,0,из
" Это был звёздный час: к нему повели кур, коров, из Москвы приезжала лечить бесплодие заведующая районо. ",1,0,1997,0,из
" Потом познакомилась с одними людьми из Москвы, актёрами. ",0,0,1997,0,из
" Мы летим на самолёте из Москвы в Петербург, Виня задумчиво смотрит в иллюминатор. ",1,0,1997,0,из
" В момент прихода поездов из Москвы интеллигентный голос сообщает приезжающим, что при желании они могут круглые сутки наблюдать на вокзале редких гадов, крокодилов и змей. ",0,0,1997,0,из
 Приближение к Твери (если вы едете из Москвы в Питер) или к Малой Вишере (если наоборот) вызывает у пассажиров страшное волнение. ,1,0,1997,0,из
"  Однажды я везла ""Экспрессом"" из Москвы в Петербург свою американскую приятельницу, хозяйку буржуазной лос-анджелесской галереи. ",1,0,1997,0,из
